id;rang;commission;operateur;date_operation
1;Chef_file;27846;Jewelery content;2021-08-21T04:12:06
2;Membre;57922;mission-critical application;2021-08-21T09:52:42
3;Membre;14801;scale Health analyzer;2021-08-20T21:38:01
4;Chef_file;53769;supply-chains hard drive Rustic;2021-08-20T17:23:59
5;Chef_file;50604;Paradigm models;2021-08-21T14:56:55
6;Membre;26245;payment;2021-08-21T06:21:19
7;Membre;72860;Home Plains;2021-08-20T23:46:02
8;Membre;97011;Central Fort;2021-08-21T15:17:47
9;Chef_file;75289;heuristic;2021-08-21T07:56:05
10;Chef_file;33785;Lead grey;2021-08-21T07:39:44
