id;code_nature;designation_fr;designation_en;designation_pt;nominal_unitaire;unite_valeur;nature_echeance;operateur;date_operation
1;Metal Lithuanian Litas;Tools;SCSI;Customer-focused compress hard drive;54524;USD;Jours;Automated Wooden;2021-08-20T23:23:57
2;Togo rich;Coordinator bluetooth;Brunei Dollar;Health Buckinghamshire;55969;Euro;Semaines;solution Versatile;2021-08-21T12:35:42
3;Group;clicks-and-mortar open-source;Frozen;transmitting;71932;FCFA;Semaines;methodologies;2021-08-21T00:34:06
4;salmon;ivory users primary;Technician payment;Intelligent Infrastructure;73664;Euro;Semaines;Towels;2021-08-20T16:45:13
5;Future Soft;withdrawal Granite syndicate;deposit;withdrawal Cotton Wyoming;22154;Euro;Semaines;Legacy open-source Rhode Island;2021-08-21T05:29:25
6;Faroe Islands;synergies Lead Rubber;SMTP clicks-and-mortar Checking Account;Granite;86040;FCFA;Annees;Product directional;2021-08-21T05:42:29
7;Director hacking directional;clicks-and-mortar strategize;Parks;Product;83156;USD;Semaines;Bedfordshire optimize emulation;2021-08-21T00:59:01
8;Bike Tasty;Grass-roots;Generic Frozen Cheese Agent;Tasty Metal Mouse Sweden;10855;Euro;Annees;Gorgeous Frozen Cheese;2021-08-20T20:11:27
9;stable;Nigeria Soft;Berkshire South Dakota;ivory mindshare algorithm;71588;FCFA;Jours;Bacon;2021-08-20T18:43:30
10;Investment Account dedicated Data;Small;Personal Loan Account matrix;card;25715;FCFA;Jours;Rapid;2021-08-20T16:42:54
