id;code_valeur;designation_fr;designation_en;designation_pt;date_emission;taux_interet;montant_nominal;unite_montant;devise;date_echeance;date_valeur;operateur;date_operation
1;XSS;indigo;reintermediate;yellow Yemeni Rial;2021-08-21;53;77988;Milliards;FCFA;2021-08-21;2021-08-20;quantifying;2021-08-21T01:19:49
2;Avon non-volatile;Arizona Gorgeous;database Credit Card Account Multi-layered;Villages;2021-08-20;7;63920;Milles;Euro;2021-08-21;2021-08-21;harness bypass;2021-08-20T23:25:23
3;radical Cambridgeshire Personal Loan Account;B2B Personal Loan Account;United Arab Emirates responsive;Villages reciprocal copying;2021-08-21;97;85074;Milles;FCFA;2021-08-21;2021-08-20;magenta orange Liaison;2021-08-21T02:52:11
4;Cliff RAM;Libyan Arab Jamahiriya Fundamental Highway;Oklahoma primary infomediaries;Rubber;2021-08-20;69;37250;Milliards;USD;2021-08-21;2021-08-21;interface Avon Incredible;2021-08-21T13:58:40
5;Checking Account conglomeration;HTTP multi-tasking;plum Rustic Sleek;Identity 1080p;2021-08-21;95;92441;Milliards;Euro;2021-08-21;2021-08-21;Burkina Faso Data;2021-08-21T02:59:59
6;green relationships;Serbia;Frozen Hat;Handmade Representative;2021-08-21;62;71061;Millions;Euro;2021-08-21;2021-08-20;Computers District;2021-08-20T23:36:09
7;Infrastructure capability;Incredible Plastic Chips firewall Usability;Shoes Markets motivating;function Central Music;2021-08-21;43;18058;Milliards;FCFA;2021-08-21;2021-08-21;optimal Incredible Concrete Pizza parsing;2021-08-21T01:18:21
8;Aruban Guilder Industrial e-business;Granite;Cotton withdrawal California;Soap;2021-08-21;78;69869;Millions;FCFA;2021-08-20;2021-08-20;Taiwan Kentucky parsing;2021-08-21T09:56:24
9;Grove Sri Lanka;Investment Account plum;Alaska coherent Devolved;cohesive bypass;2021-08-20;35;17554;Milliards;USD;2021-08-21;2021-08-21;Bacon middleware Facilitator;2021-08-20T20:15:12
10;Chief Tools invoice;auxiliary ADP Rustic Concrete Car;Engineer;Beauty Quality back up;2021-08-21;64;46750;Millions;USD;2021-08-21;2021-08-21;evolve payment Personal Loan Account;2021-08-21T04:14:13
