id;abreviation_fr;abreviation_en;abreviation_pt;designation_fr;designation_en;etat;operateur;date_operation
1;Balboa US Dollar;UIC-Franc Small;Tenge;Health Pennsylvania Security;Implementation THX program;Agree;Principal;2021-08-20T21:47:06
2;calculating compressing Architect;Tuna Sleek;exploit experiences;Money Market Account out-of-the-box;eco-centric;Suspendu;Corporate;2021-08-21T09:34:41
3;Communications Investment Account Licensed Steel Ball;Implementation Metal online;Steel overriding;Sleek Flats;plum back up implementation;Agree;Checking Account;2021-08-21T05:46:52
4;digital;SSL Research;Generic Frozen Pizza Ohio;Buckinghamshire Berkshire;Multi-channelled Concrete;Suspendu;auxiliary Small;2021-08-20T18:20:35
5;invoice;bandwidth-monitored 6th generation Sausages;Industrial e-services;Outdoors;zero tolerance Bike;Agree;Wisconsin Customer Buckinghamshire;2021-08-21T04:01:29
6;Streamlined New Israeli Sheqel;Automotive;connecting District Optimization;web-enabled driver;hacking aggregate Functionality;Suspendu;Investment Account Avon;2021-08-20T17:39:39
7;complexity;Gorgeous white;Buckinghamshire scalable Concrete;enhance Som analyzer;overriding Ball well-modulated;Agree;connect SQL;2021-08-21T04:05:27
8;Grove;action-items;override;bandwidth;Concrete;Agree;primary generating Outdoors;2021-08-21T15:25:02
9;driver;Cordoba Oro Fantastic Wooden Computer Assistant;Jamaica;Representative Seychelles;Cheese Intelligent Branch;Suspendu;Chair;2021-08-21T02:57:50
10;Tactics deposit;AI bypassing Quality;Hat Intelligent Steel Fish white;Small;Cambridgeshire Computers SMTP;Agree;deposit Tasty;2021-08-21T13:56:40
