id;code_valeur;designation_fr;designation_en;designation_pt;date_emission;taux_interet;encours_emission;unite_volume;montant_sollicite;unite_montant;devise;date_echeance;date_valeur;operateur;date_operation
1;Technician;Shoes;invoice;Rwanda Franc;2021-08-21;92;84176;Milles;30714;Millions;Euro;2021-08-21;2021-08-21;Division Plastic;2021-08-21T12:46:56
2;Reduced;maximized Kiribati index;software Grocery;repurpose payment Technician;2021-08-20;61;97138;Milliards;99112;Millions;USD;2021-08-20;2021-08-21;synthesizing challenge deploy;2021-08-21T06:29:17
3;SMTP scalable;Savings Account projection payment;Cambridgeshire;utilize;2021-08-21;47;44882;Milles;6300;Milliards;FCFA;2021-08-20;2021-08-20;hack indexing payment;2021-08-21T11:04:30
4;Up-sized turquoise;Tasty Central Investor;Pa'anga Bike;Chicken Decentralized;2021-08-20;98;9514;Milliards;29898;Milles;Euro;2021-08-20;2021-08-21;Checking Account Sausages Berkshire;2021-08-21T03:18:43
5;enable;Pitcairn Islands redundant;New Hampshire Awesome;Gloves;2021-08-20;94;18943;Milles;98573;Millions;FCFA;2021-08-20;2021-08-21;holistic Lempira Holy See (Vatican City State);2021-08-20T22:42:01
6;moratorium;RSS open system;open-source maroon;SDD Clothing turquoise;2021-08-20;46;43132;Milliards;74456;Milles;FCFA;2021-08-21;2021-08-21;Handcrafted Metal Pizza compress;2021-08-20T19:18:25
7;Cambridgeshire Borders;New York;matrix Home Loan Account;Unbranded Metal Towels evolve;2021-08-21;27;47270;Milles;48552;Millions;USD;2021-08-20;2021-08-20;salmon;2021-08-21T00:36:10
8;Investment Account virtual HDD;quantifying;Sports Somali Shilling unleash;Lead Mountain;2021-08-21;88;40431;Millions;60126;Milles;Euro;2021-08-20;2021-08-21;synthesizing override;2021-08-20T23:05:08
9;Web Azerbaijanian Manat;Soft;Soap;olive Tasty;2021-08-21;83;30086;Millions;60697;Milles;USD;2021-08-20;2021-08-20;transmit;2021-08-21T09:42:33
10;payment maximize;invoice Dobra;drive;Executive Bedfordshire;2021-08-21;33;43785;Milliards;72020;Milles;Euro;2021-08-21;2021-08-21;Lao People's Democratic Republic Curve;2021-08-20T19:15:20
