id;code_emission;designation_fr;designation_en;designation_pt;date_emission;echeance;duree;remboursement;forme_titre;taux_interet;volume_emission;unite_volume;valeur_nominale;devise;quantite_titre;rendement;date_limite;lieu_souscription;date_resultat;date_reglement;date_valeur;operateur;date_operation
1;Intranet Checking Account;didactic driver;Wooden;didactic open-source;2021-08-21;2021-08-20;compressing;Awesome Steel Computer;redundant Home;68;5821;Milles;97617;USD;29151;intermediate Awesome Metal Fish lime;2021-08-20T19:09:29;Generic Cotton Hat;2021-08-21T04:58:03;2021-08-21T12:30:15;2021-08-21;Argentine Peso Integration;2021-08-20T19:19:23
2;Analyst;Paradigm;bleeding-edge;Colorado Land;2021-08-21;2021-08-21;ROI;primary mint green;generate Personal Loan Account Tasty Soft Salad;94;20096;Millions;11251;FCFA;81951;black matrix Product;2021-08-20T17:08:22;connect;2021-08-21T13:09:23;2021-08-20T18:49:39;2021-08-21;payment Planner Specialist;2021-08-21T00:26:39
3;Canyon;Incredible Metal Hat;Function-based integrate Wisconsin;Soap Rufiyaa even-keeled;2021-08-21;2021-08-21;monetize;Unions Chair;Tokelau Indiana;43;20964;Milles;49938;FCFA;25037;Fully-configurable cross-platform;2021-08-21T08:46:45;PNG Home Loan Account;2021-08-21T01:29:58;2021-08-21T04:48:14;2021-08-20;Afghani;2021-08-21T02:16:29
4;Directives focus group;visionary compressing Tasty Wooden Towels;mobile Specialist program;Palladium;2021-08-21;2021-08-21;Rustic scale backing up;benchmark Global PCI;Liaison;88;51559;Milliards;33751;Euro;68942;Designer metrics;2021-08-21T10:56:03;Romania orchestration;2021-08-20T22:00:38;2021-08-21T14:50:11;2021-08-21;Money Market Account grey Wooden;2021-08-20T22:44:04
5;withdrawal Synergistic;Norwegian Krone Corporate;Buckinghamshire Bacon;District;2021-08-21;2021-08-21;enable Incredible;SDD;ubiquitous;87;80804;Millions;78390;Euro;78369;California Massachusetts;2021-08-21T11:34:51;pixel;2021-08-20T23:04:43;2021-08-20T22:17:47;2021-08-21;Philippines;2021-08-21T15:54:18
6;high-level;Concrete;revolutionary Som;Electronics Palestinian Territory overriding;2021-08-21;2021-08-21;lavender Customer;Credit Card Account;Bedfordshire;26;74079;Milliards;8456;USD;13903;Soft;2021-08-20T19:47:50;Mouse;2021-08-20T22:31:28;2021-08-20T18:30:41;2021-08-21;experiences Extended Fantastic;2021-08-21T02:50:53
7;optimizing Fantastic;Group Guyana;New Hampshire;frictionless bottom-line;2021-08-20;2021-08-21;invoice infrastructures Wooden;e-markets SMS;models compress Dynamic;24;7220;Milliards;59837;USD;50570;neural reboot Bhutan;2021-08-21T14:13:55;Drives deposit haptic;2021-08-21T03:44:50;2021-08-20T23:26:38;2021-08-21;Drive;2021-08-21T01:27:42
8;Soft;transparent hub;Implementation Gorgeous;open system Cambridgeshire;2021-08-21;2021-08-21;Dynamic;Guam connect Tools;Cheese Wooden Movies;88;37802;Milliards;49138;Euro;22934;Tasty Cotton Pizza;2021-08-20T19:29:06;frame copy;2021-08-21T13:14:11;2021-08-20T22:14:46;2021-08-21;quantifying holistic;2021-08-20T18:57:44
9;SQL;compressing Canada;Shirt Denar Haven;overriding Handcrafted Concrete Computer;2021-08-21;2021-08-21;Underpass backing up Maryland;redundant Jordan;Generic Cuban Peso Peso Convertible;29;2742;Milliards;46455;Euro;12133;Neck;2021-08-20T18:54:56;programming Granite;2021-08-21T08:08:31;2021-08-21T16:04:07;2021-08-21;red Mandatory;2021-08-20T19:21:59
10;maroon Intelligent PCI;navigating;multi-state;New Mexico Dynamic Ergonomic;2021-08-21;2021-08-20;Djibouti Balanced neural;Cape Verde Escudo;open-source payment;55;53958;Milliards;64258;Euro;27719;transition Developer niches;2021-08-21T07:13:11;Metal;2021-08-21T00:32:37;2021-08-20T21:36:56;2021-08-21;matrices;2021-08-21T10:03:30
