id;periode;annee;date_annonce;date_adjudication;date_echeance;duree;volume_emission;unite_volume;devise;date_valeur;nature;operateur;date_operation
1;monitor eyeballs reintermediate;85324;2021-08-21;2021-08-20;2021-08-21;Assistant;58076;Millions;USD;2021-08-21;Rachat;FTP;2021-08-20T20:46:58
2;global New Leu;52836;2021-08-20;2021-08-21;2021-08-20;Games deposit evolve;94638;Milliards;USD;2021-08-21;Reouverture;silver;2021-08-21T01:25:22
3;parsing Berkshire connecting;77973;2021-08-21;2021-08-21;2021-08-21;contextually-based;58580;Millions;FCFA;2021-08-20;Normale;grey parsing;2021-08-21T15:35:56
4;Grocery Zambian Kwacha Bacon;74314;2021-08-20;2021-08-21;2021-08-20;Divide Associate;7714;Millions;FCFA;2021-08-20;Syndication;withdrawal;2021-08-21T09:42:27
5;alarm engage ADP;14518;2021-08-20;2021-08-20;2021-08-20;Avon;32224;Millions;Euro;2021-08-21;Rachat;pink Home Loan Account;2021-08-20T18:34:14
6;Sausages systemic copying;91209;2021-08-21;2021-08-21;2021-08-21;Berkshire transmit Plastic;95237;Milles;Euro;2021-08-20;Rachat;South Carolina Future Marketing;2021-08-21T04:02:44
7;Junction Technician Configurable;47273;2021-08-21;2021-08-20;2021-08-20;Borders violet Home;57622;Milliards;USD;2021-08-21;Rachat;Incredible Soft Chips orchestration;2021-08-20T19:23:01
8;Beauty;44041;2021-08-21;2021-08-21;2021-08-20;Refined Cotton Mouse Synchronised;95349;Milliards;USD;2021-08-21;Syndication;Guarani Canada Optimization;2021-08-21T01:21:15
9;Rwanda;63308;2021-08-21;2021-08-20;2021-08-21;Data programming Sports;4232;Millions;FCFA;2021-08-21;Normale;Function-based;2021-08-20T19:37:04
10;back-end enterprise;8913;2021-08-20;2021-08-21;2021-08-21;New Zealand framework;11795;Millions;USD;2021-08-21;Reouverture;cultivate Steel;2021-08-21T08:49:38
