id;adresse_serveur;timbre_service_1;timbre_service_2;timbre_service_3;operateur;date_operation
1;interface pink structure;invoice;Chair Libyan Dinar compress;revolutionize portals;Burg input;2021-08-20T16:25:31
2;Incredible Cotton Pizza;synthesizing;generating;Metrics Central;knowledge user User-friendly SCSI;2021-08-21T04:00:48
3;algorithm port;Jewelery Chief innovative;Automotive Dynamic;Savings Account;Indian Rupee matrix;2021-08-20T16:52:52
4;Bedfordshire Mobility Awesome;Sausages mindshare;Gateway firewall;innovate Rial Omani sky blue;tertiary;2021-08-20T17:04:33
5;synergy;transparent Buckinghamshire;Minnesota Borders;Money Market Account plum JSON;adapter Licensed;2021-08-20T21:26:15
6;Outdoors;Rustic Soft Chicken Home Loan Account Home Loan Account;Manor RAM;Sleek;Human Organic;2021-08-21T00:54:54
7;virtual;deposit back-end;Metal;AI Unbranded Incredible;auxiliary;2021-08-20T19:14:02
8;Technician;Benin Dynamic Chicken;methodologies;Grocery Rhode Island;Michigan Vermont Nepal;2021-08-21T08:23:50
9;virtual;THX Principal maroon;Total bandwidth Sports;copying;Small Rubber Table;2021-08-21T02:59:28
10;Albania;plum content-based Buckinghamshire;Plastic;Bedfordshire Bedfordshire e-tailers;Saint Helena Pound;2021-08-21T11:43:07
