id;rang;observation_fr;observation_en;observation_pt
1;76665;front-end;Fresh fuchsia;optical Checking Account
2;47018;deposit indigo;Manager Bedfordshire extend;application Mission
3;6423;Licensed Steel Sausages;matrix cross-platform Rustic Plastic Towels;niches Enterprise-wide Taka
4;44911;Berkshire calculate;bypassing Forks National;program
5;14768;port;Graphic Interface;Peru Handmade Berkshire
6;35044;British Indian Ocean Territory (Chagos Archipelago);expedite Music;Small bricks-and-clicks Maine
7;23503;withdrawal;Kip;neural Bacon
8;65132;Baht;Human teal;Sleek alarm Bacon
9;19237;Concrete Concrete;lime Jewelery;applications Beauty real-time
10;80291;Fresh;Awesome Steel Salad;holistic Assistant
