id;rang;observation_fr;observation_en;observation_pt
1;43861;Electronics Senior;JSON Avon deposit;Future harness mobile
2;31760;Directives payment;Unbranded Plastic Keyboard Automated payment;optical Chair
3;27263;Senior data-warehouse Gloves;invoice intranet infrastructures;Arizona
4;65954;Practical;Open-architected;Yemen
5;6818;task-force;Texas optical;transmit Concrete Marketing
6;1145;Personal Loan Account Integration Streets;Credit Card Account fuchsia;Representative
7;51532;mindshare;Towels Cedi;input Cotton
8;31546;Cambridgeshire;Auto Loan Account Metal;Netherlands Antilles
9;15999;deposit;experiences Buckinghamshire transition;Legacy experiences
10;18147;circuit redundant Creative;Shoes Prairie application;calculating indexing
