id;nbre_svt_total;nbre_svt_soumis;montant_tresor;unite_tresor;montant_soumis;unite_soumis;montant_servi;nbre_titre_total;nbre_titre_soumis;taux_min_propose;taux_max_propose;taux_limite;taux_interet_moyen;taux_rendement_moyen;taux_couverture
1;85852;97181;2260;Milliards;40871;Millions;46407;29395;45738;51;97;31;78;78;34
2;49860;9608;40369;Milliards;15862;Millions;94989;7357;86567;61;38;47;51;93;14
3;73923;5357;5698;Milles;56834;Milles;73051;51839;93615;10;7;58;6;37;4
4;50626;8098;89373;Milliards;92725;Milles;29981;10506;73965;3;23;74;18;22;80
5;94092;66114;74987;Millions;22137;Millions;70095;69447;3848;32;29;87;23;53;52
6;15709;77666;98475;Milles;42102;Milles;53963;7159;11648;78;75;20;63;83;35
7;78045;61088;81912;Milliards;5952;Millions;40384;39931;5654;13;92;56;76;47;62
8;19478;15505;18810;Milles;63989;Millions;16372;83220;22298;21;26;11;24;70;57
9;34101;72898;30339;Milliards;24244;Millions;76292;67026;42563;53;20;31;79;90;94
10;63600;83253;26001;Milliards;96612;Millions;79600;48532;64176;61;1;81;5;9;80
