id;montant_soumission;taux_propose;operateur;date_operation
1;80146;24;National Metal Alaska;2021-08-21T04:27:15
2;57422;41;Bike web services;2021-08-20T17:05:36
3;96684;32;collaborative Silver Garden;2021-08-20T18:22:21
4;59404;66;client-server invoice;2021-08-21T02:09:17
5;65632;44;Harbor deposit;2021-08-21T05:59:12
6;17421;27;Indiana deposit;2021-08-20T18:54:26
7;39808;71;grid-enabled maximize Ergonomic;2021-08-21T03:31:14
8;34778;31;web-enabled Streets initiatives;2021-08-20T22:23:41
9;89979;17;Panama Borders;2021-08-21T00:32:24
10;14628;19;Virginia Hat;2021-08-20T22:17:01
