id;code_pays;designation_fr;designation_en;designation_pt;operateur;date_operation
1;Outdoors Multi-channelled;Cambridgeshire;applications navigate;Metal Neck monitoring;Concrete;2021-08-20T23:15:17
2;global Streamlined Borders;SDR Singapore Dollar;auxiliary Toys Regional;Trace Shoal Beauty;e-markets;2021-08-20T17:10:07
3;Engineer Lights Pennsylvania;bypassing Licensed Frozen Shirt;Gourde US Dollar Re-contextualized Re-contextualized;Nebraska AGP;Bolivar Fuerte;2021-08-21T10:18:47
4;microchip circuit;Barbados Dollar;Chips;superstructure;Fully-configurable fault-tolerant;2021-08-21T03:36:16
5;payment Sleek Soft Fish embrace;Bacon;Indiana;CSS California;Sudan stable Sleek Rubber Chips;2021-08-20T19:57:57
6;New Taiwan Dollar solution-oriented synthesize;Chips holistic Sri Lanka Rupee;Michigan protocol Generic;projection;RSS Intelligent transform;2021-08-20T16:56:06
7;system;Ergonomic;Home Executive;Direct Brazil;Investor Marketing;2021-08-21T10:34:39
8;orange Spring driver;GB;e-services Automated Frozen;Tunnel visionary primary;bluetooth bypassing;2021-08-21T11:23:38
9;Turkmenistan optical Money Market Account;haptic;connecting calculating;Avon Movies;open-source Producer moderator;2021-08-21T10:22:10
10;Well Bedfordshire;mobile redundant Human;Botswana monitor functionalities;Tasty Wooden Shirt;deposit;2021-08-20T17:18:45
